School,MeasureID,Year,Category,Subgroup,N,ChronicAbsent,Value,Source,ValidationStatus,Note
Shawmut Hills,3.1,2024,Gender,Female,121,44,36.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Shawmut Hills,3.1,2024,Race,Hispanic,93,38,40.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Shawmut Hills,3.1,2024,FRL,FRL Eligible,184,89,48.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Shawmut Hills,3.1,2024,English Learner,English Learner,42,9,21.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Shawmut Hills,3.1,2024,Special Education,Not Special Education,223,86,38.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Buchanan,3.1,2024,Gender,Female,223,63,28.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Buchanan,3.1,2024,Race,African American,57,24,42.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Buchanan,3.1,2024,FRL,FRL Eligible,269,84,31.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Buchanan,3.1,2024,Special Education,Special Education,70,22,31.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southwest Community Campus Elementary,3.1,2024,English Learner,English Learner,358,62,17.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southwest Community Campus Elementary,3.1,2024,Special Education,Special Education,95,25,26.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Elementary/Middle,3.1,2024,FRL,Not FRL Eligible,170,16,9.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Congress,3.1,2024,Gender,Male,96,33,34.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Congress,3.1,2024,Race,Hispanic,54,25,46.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Congress,3.1,2024,FRL,FRL Eligible,109,56,51.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Congress,3.1,2024,English Learner,Not English Learner,168,57,33.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Congress,3.1,2024,Special Education,Not Special Education,178,54,30.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Shawmut Hills,3.1,2024,Gender,Male,156,69,44.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Shawmut Hills,3.1,2024,Race,African American,65,38,58.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Shawmut Hills,3.1,2024,English Learner,Not English Learner,237,105,44.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Campus Elementary,3.1,2024,Gender,Female,122,75,61.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Campus Elementary,3.1,2024,Race,White,10,5,50.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Mulick Park,3.1,2024,Gender,Male,153,67,43.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Mulick Park,3.1,2024,Race,White,35,7,20.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Mulick Park,3.1,2024,FRL,Not FRL Eligible,68,16,23.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Mulick Park,3.1,2024,English Learner,Not English Learner,262,111,42.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Mulick Park,3.1,2024,Special Education,Not Special Education,235,91,38.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Mulick Park,3.1,2024,Gender,Female,137,53,38.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Mulick Park,3.1,2024,Race,Hispanic,40,21,52.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Mulick Park,3.1,2024,FRL,FRL Eligible,222,104,46.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Palmer,3.1,2024,Race,African American,52,25,48.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Palmer,3.1,2024,FRL,FRL Eligible,129,54,41.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Campus Elementary,3.1,2024,Race,African American,174,110,63.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Campus Elementary,3.1,2024,Special Education,Not Special Education,194,121,62.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Elementary,3.1,2024,Special Education,Not Special Education,328,80,24.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Dickinson,3.1,2024,Gender,Female,103,49,47.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Dickinson,3.1,2024,Race,Two or More,15,9,60.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Buchanan,3.1,2024,Race,White,12,5,41.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sibley,3.1,2024,Gender,Male,146,58,39.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sibley,3.1,2024,Race,Hispanic,107,28,26.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sibley,3.1,2024,English Learner,English Learner,79,15,19.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ridgemoor Park Montessori,3.1,2024,Gender,Female,70,14,20.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ridgemoor Park Montessori,3.1,2024,Race,African American,21,8,38.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Gerald R. Ford Academic Center,3.1,2024,Gender,Male,105,25,23.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Gerald R. Ford Academic Center,3.1,2024,Race,Hispanic,89,23,25.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Shawmut Hills,3.1,2024,Race,White,85,24,28.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Shawmut Hills,3.1,2024,Special Education,Special Education,56,28,50.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Coit Creative Arts,3.1,2024,Gender,Male,123,43,35.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Coit Creative Arts,3.1,2024,Race,African American,76,34,44.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Coit Creative Arts,3.1,2024,FRL,FRL Eligible,161,66,41.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Coit Creative Arts,3.1,2024,English Learner,Not English Learner,228,75,32.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Coit Creative Arts,3.1,2024,Special Education,Special Education,55,24,43.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Elementary,3.1,2024,English Learner,Not English Learner,104,35,33.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Elementary/Middle,3.1,2024,Special Education,Special Education,51,12,23.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Brookside,3.1,2024,Gender,Female,125,40,32.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Brookside,3.1,2024,Race,White,47,13,27.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Brookside,3.1,2024,FRL,Not FRL Eligible,75,12,16.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Campus Elementary,3.1,2024,Race,Hispanic,36,24,66.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Campus Elementary,3.1,2024,FRL,Not FRL Eligible,29,13,44.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Campus Elementary,3.1,2024,English Learner,English Learner,32,12,37.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Palmer,3.1,2024,Gender,Female,91,27,29.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Elementary,3.1,2024,Gender,Female,233,35,15.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Elementary,3.1,2024,Special Education,Special Education,40,9,22.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Aberdeen Academy,3.1,2024,Gender,Female,94,28,29.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Aberdeen Academy,3.1,2024,FRL,Not FRL Eligible,93,16,17.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Shawmut Hills,3.1,2024,FRL,Not FRL Eligible,95,25,26.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Kent Hills,3.1,2024,Gender,Female,122,59,48.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Kent Hills,3.1,2024,Race,Hispanic,48,20,41.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Kent Hills,3.1,2024,FRL,FRL Eligible,177,106,59.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Kent Hills,3.1,2024,English Learner,Not English Learner,198,117,59.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Kent Hills,3.1,2024,Special Education,Not Special Education,168,85,50.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Aberdeen Academy,3.1,2024,Special Education,Not Special Education,150,37,24.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Elementary,3.1,2024,Gender,Female,189,45,23.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Harrison Park,3.1,2024,Special Education,Special Education,110,68,61.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Mulick Park,3.1,2024,Race,African American,199,83,41.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Harrison Park,3.1,2024,Race,African American,163,98,60.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southwest Community Campus Elementary,3.1,2024,FRL,FRL Eligible,291,80,27.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Elementary,3.1,2024,Race,Hispanic,70,13,18.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Elementary,3.1,2024,FRL,FRL Eligible,183,42,23.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sibley,3.1,2024,Special Education,Special Education,89,48,53.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Elementary,3.1,2024,FRL,Not FRL Eligible,164,29,17.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Mulick Park,3.1,2024,English Learner,English Learner,28,9,32.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sherwood Global Studies,3.1,2024,Gender,Female,80,17,21.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sherwood Global Studies,3.1,2024,Race,Hispanic,26,3,11.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sherwood Global Studies,3.1,2024,FRL,Not FRL Eligible,49,5,10.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sherwood Global Studies,3.1,2024,English Learner,Not English Learner,114,34,29.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sherwood Global Studies,3.1,2024,Special Education,Not Special Education,119,29,24.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Congress,3.1,2024,Gender,Female,111,36,32.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Harrison Park,3.1,2024,Race,White,81,47,58.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Gerald R. Ford Academic Center,3.1,2024,FRL,Not FRL Eligible,70,9,12.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Harrison Park,3.1,2024,Race,Asian,10,9,90.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Coit Creative Arts,3.1,2024,Gender,Female,121,38,31.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ken-o-Sha Park,3.1,2024,Race,Two or More,12,7,58.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ken-o-Sha Park,3.1,2024,Special Education,Special Education,21,10,47.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Congress,3.1,2024,Race,White,74,6,8.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Congress,3.1,2024,FRL,Not FRL Eligible,98,13,13.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Mulick Park,3.1,2024,Special Education,Special Education,55,29,52.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Cesar E. Chavez,3.1,2024,Special Education,Special Education,67,24,35.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ken-o-Sha Park,3.1,2024,FRL,Not FRL Eligible,30,6,20.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Gerald R. Ford Academic Center,3.1,2024,English Learner,English Learner,55,9,16.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Elementary,3.1,2024,Race,Two or More,44,10,22.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Kent Hills,3.1,2024,Race,African American,119,73,61.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
North Park Montessori,3.1,2024,Gender,Female,146,18,12.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
North Park Montessori,3.1,2024,FRL,Not FRL Eligible,244,18,7.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
North Park Montessori,3.1,2024,Special Education,Not Special Education,312,41,13.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Mulick Park,3.1,2024,Race,Two or More,16,9,56.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
North Park Montessori,3.1,2024,Race,African American,27,8,29.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Aberdeen Academy,3.1,2024,Race,Two or More,19,7,36.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Elementary/Middle,3.1,2024,Race,African American,35,9,25.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
North Park Montessori,3.1,2024,Race,Two or More,39,9,23.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
John Ball Park Zoo,3.1,2024,Gender,Male,18,0,0.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
John Ball Park Zoo,3.1,2024,Race,White,41,1,2.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
John Ball Park Zoo,3.1,2024,FRL,FRL Eligible,18,1,5.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
John Ball Park Zoo,3.1,2024,English Learner,Not English Learner,55,3,5.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
John Ball Park Zoo,3.1,2024,Special Education,Not Special Education,54,3,5.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sherwood Global Studies,3.1,2024,Gender,Male,57,20,35.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Gerald R. Ford Academic Center,3.1,2024,Special Education,Special Education,33,8,24.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Elementary,3.1,2024,Race,African American,42,16,38.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Center for Economicology,3.1,2024,Gender,Male,32,4,12.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Center for Economicology,3.1,2024,Race,Hispanic,19,2,10.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Center for Economicology,3.1,2024,FRL,FRL Eligible,17,2,11.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Center for Economicology,3.1,2024,English Learner,Not English Learner,56,4,7.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sherwood Global Studies,3.1,2024,English Learner,English Learner,23,3,13.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Kent Hills,3.1,2024,Race,White,31,12,38.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
